head_of_duty,year,quantity_of_measure,volume
Cider and Perry Import,2017,litres   ,9703574
Cider and Perry Home,2017,litres   ,54318208
Spirits Import,2017,litres of alcohol,5403827
Spirits Home,2017,litres of alcohol,2896984
Wine up to 5.5 percent,2017,litres   ,8084964
Wine Still between 5.5 and 15 percent,2017,litres   ,81849519
Wine Still over 15 percent,2017,litres   ,837247
Wine Sparkling over 5.5 percent,2017,litres   ,2278814
Tobacco Cigarettes,2017,thousands,3595892
Tobacco  Cigars,2017,kilograms,23684
Fine Cut Tobacco,2017,kilograms,446878
Tobacco Other,2017,kilograms,11877
MHLO Leaded Petrol ,2017,thousand litres,0
MHLO Unleaded Petrol,2017,thousand litres,1249735
MHLO SuperPlus Unleaded,2017,thousand litres,0
MHLO Aviation Gasoline,2017,thousand litres,965
Autodiesel,2017,thousand litres,3571370
Marked Gas Oil (MGO),2017,thousand litres,1054636
Kerosene,2017,thousand litres,1088674
Fuel Oil used in manufacture of Alumina,2017,thousand litres,379
Residual Fuel Oils,2017,thousand litres,58074
Liquefied Petroleum Gas Other,2017,thousand litres,298030
Liquefied Petroleum Gas Auto ,2017,thousand litres,3830
Bookmaking Licences number issued,2017,Number Issued,174
Bookmaking Premises number issued,2017,Number Issued,462
Beer Import,2016,litres of alcohol,6726410
Beer Home,2016,litres of alcohol,12490725
Cider and Perry Import,2016,litres   ,8998059
Cider and Perry Home,2016,litres   ,54070577
Spirits Import,2016,litres of alcohol,5146902
Spirits Home,2016,litres of alcohol,2863045
Wine up to 5.5 percent,2016,litres   ,8108953
Wine Still between 5.5 and 15 percent,2016,litres   ,81695056
Wine Still over 15 percent,2016,litres   ,910232
Wine Sparkling over 5.5 percent,2016,litres   ,1999042
Tobacco Cigarettes,2016,thousands,2845528
Tobacco  Cigars,2016,kilograms,21165
Fine Cut Tobacco,2016,kilograms,353330
Tobacco Other,2016,kilograms,14070
MHLO Leaded Petrol ,2016,thousand litres,0
MHLO Unleaded Petrol,2016,thousand litres,1334857
MHLO SuperPlus Unleaded,2016,thousand litres,0
MHLO Aviation Gasoline,2016,thousand litres,1035
Autodiesel,2016,thousand litres,3330228
Marked Gas Oil (MGO),2016,thousand litres,1044189
Kerosene,2016,thousand litres,1049661
Fuel Oil used in manufacture of Alumina,2016,thousand litres,269
Residual Fuel Oils,2016,thousand litres,55418
Liquefied Petroleum Gas Other,2016,thousand litres,263451
Liquefied Petroleum Gas Auto ,2016,thousand litres,4270
Bookmaking Licences number issued,2016,Number Issued,147
Bookmaking Premises number issued,2016,Number Issued,840
Beer Import,2015,litres of alcohol,6406510
Beer Home,2015,litres of alcohol,12132051
Cider and Perry Import,2015,litres   ,8301583
Cider and Perry Home,2015,litres   ,49798993
Spirits Import,2015,litres of alcohol,4766319
Spirits Home,2015,litres of alcohol,2591325
Wine up to 5.5 percent,2015,litres   ,7249547
Wine Still between 5.5 and 15 percent,2015,litres   ,77532275
Wine Still over 15 percent,2015,litres   ,847425
Wine Sparkling over 5.5 percent,2015,litres   ,1650454
Tobacco Cigarettes,2015,thousands,3236648
Tobacco  Cigars,2015,kilograms,25657
Fine Cut Tobacco,2015,kilograms,508073
Tobacco Other,2015,kilograms,14918
MHLO Leaded Petrol ,2015,thousand litres,0
MHLO Unleaded Petrol,2015,thousand litres,1417134
MHLO SuperPlus Unleaded,2015,thousand litres,0
MHLO Aviation Gasoline,2015,thousand litres,982
Autodiesel,2015,thousand litres,3105597
Marked Gas Oil (MGO),2015,thousand litres,1014307
Kerosene,2015,thousand litres,1014784
Fuel Oil used in manufacture of Alumina,2015,thousand litres,3042
Residual Fuel Oils,2015,thousand litres,58029
Liquefied Petroleum Gas Other,2015,thousand litres,244976
Liquefied Petroleum Gas Auto ,2015,thousand litres,4320
Bookmaking Licences number issued,2015,Number Issued,269
Bookmaking Premises number issued,2015,Number Issued,300
Beer Import,2014,litres of alcohol,6939716
Beer Home,2014,litres of alcohol,11880315
Cider and Perry Import,2014,litres   ,8342800
Cider and Perry Home,2014,litres   ,54067978
Spirits Import,2014,litres of alcohol,4607759
Spirits Home,2014,litres of alcohol,2610238
Wine up to 5.5 percent,2014,litres   ,5357744
Wine Still between 5.5 and 15 percent,2014,litres   ,77751868
Wine Still over 15 percent,2014,litres   ,794539
Wine Sparkling over 5.5 percent,2014,litres   ,1534995
