commodity_and_head_of_duty,year , net_receipts_ 
Mineral Hydrocarbon Light Oils - Home ,2020,3554
Hydrocarbon Heavy Oils  - AutoDiesel,2020,1342252195
Hydrocarbon Heavy Oils - Marked Gas Oil,2020,46764230
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2020,698355
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2020,126202
Carbon Auto Diesel,2020,212569657
Carbon Petrol,2020,46092434
Carbon Aviation Gasoline,2020,61596
Carbon Kerosene,2020,68227443
Carbon Marked Gas Oil,2020,65269318
Carbon Fuel Oil,2020,1322849
Carbon Other LPG,2020,11241958
Carbon Auto LPG,2020,43529
Carbon Natural Gas,2020,64982094
Carbon Solid Fuel,2020,23762090
Electricity Tax,2020,2096530
Sugar Tax,2020,31297420
Vehicle Registration Tax,2020,751246690
Excise Duty on Premises or Activities - Traditional Betting Duty,2020,39021093
Excise Duty on Premises or Activities - Remote Betting Duty,2020,44935012
Excise Duty on Premises or Activities - Betting Commissions Duty,2020,2815335
Excise Duty on Premises or Activities - Bookmakers Licences,2020,39500
Excise Duty on Premises or Activities - Bookmaking Premises,2020,291840
Excise Duty on Premises or Activities - Remote Betting Intermediary's,2020,30000
Excise Duty on Premises or Activities - Remote Bookmaker's,2020,110000
Excise Duty on Premises or Activities - Clubs,2020,1605
Excise Duty on Premises or Activities - Public Dancing Licences,2020,1260047
Excise Duty on Premises or Activities - Licences,2020,8521412
Excise Duty on Premises or Activities - An Post,2020,52926
Alcohols Beer - Import,2019,147453137.5
Alcohols Beer - Home,2019,273943490.8
Alcohols Cider and Perry - Import,2019,14948513.5
Alcohols Cider and Perry - Home,2019,44904484.4
Alcohols Spirits - Import,2019,250231964.1
Alcohols Spirits - Home,2019,123108510.4
Alcohols Wine,2019,360026448.9
Alcohols Made Wine,2019,17182662.2
Tobacco Cigarettes,2019,1010898177
Tobacco Cigars /Fine Cut / Other Smoking,2019,125403563
Mineral Hydrocarbon Light Oils - Import ,2019,568072371
Mineral Hydrocarbon Light Oils - Home ,2019,1626
Hydrocarbon Heavy Oils  - AutoDiesel,2019,1550032036
Hydrocarbon Heavy Oils - Marked Gas Oil,2019,45297922
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2019,693016
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2019,178247
Carbon Auto Diesel,2019,192798498
Carbon Petrol,2019,47613133
Carbon Aviation Gasoline,2019,45442
Carbon Kerosene,2019,53781398
Carbon Marked Gas Oil,2019,54386492
Carbon Fuel Oil,2019,1171665
Carbon Other LPG,2019,10158193
Carbon Auto LPG,2019,54870
Carbon Natural Gas,2019,50394285
Carbon Solid Fuel,2019,20057760
Electricity Tax,2019,2296210
Sugar Tax,2019,33043306
Vehicle Registration Tax,2019,941986667
Excise Duty on Premises or Activities - Traditional Betting Duty,2019,51889431
Excise Duty on Premises or Activities - Remote Betting Duty,2019,40622117
Excise Duty on Premises or Activities - Betting Commissions Duty,2019,2501750
Excise Duty on Premises or Activities - Bookmakers Licences,2019,100750
Excise Duty on Premises or Activities - Bookmaking Premises,2019,368600
Excise Duty on Premises or Activities - Remote Betting Intermediary's,2019,110000
Excise Duty on Premises or Activities - Remote Bookmaker's,2019,1160000
Excise Duty on Premises or Activities - Clubs,2019,476975
Excise Duty on Premises or Activities - Public Dancing Licences,2019,2879185
Excise Duty on Premises or Activities - Licences,2019,17857635
Excise Duty on Premises or Activities - An Post,2019,14440
Alcohols Beer - Import,2018,147752280
Alcohols Beer - Home,2018,282341527
Alcohols Cider and Perry - Import,2018,9367572
Alcohols Cider and Perry - Home,2018,51814713
Alcohols Spirits - Import,2018,242769538
Alcohols Spirits - Home,2018,129391408
Alcohols Wine,2018,358098464
Alcohols Made Wine,2018,18267617
Tobacco Cigarettes,2018,646135429
Tobacco Cigars /Fine Cut / Other Smoking,2018,102613074
Mineral Hydrocarbon Light Oils - Import ,2018,598024186
Mineral Hydrocarbon Light Oils - Home ,2018,-1199
Hydrocarbon Heavy Oils  - AutoDiesel,2018,1520744565
Hydrocarbon Heavy Oils - Marked Gas Oil,2018,43573721
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2018,761153
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2018,202216
Carbon Auto Diesel,2018,182821260
Carbon Petrol,2018,48089552
Carbon Aviation Gasoline,2018,38905
Carbon Kerosene,2018,58617823
Carbon Marked Gas Oil,2018,54306727
Carbon Fuel Oil,2018,1627306
Carbon Other LPG,2018,10243207
Carbon Auto LPG,2018,91817
Carbon Natural Gas,2018,49976681
Carbon Solid Fuel,2018,25318647
Electricity Tax,2018,2533033
Sugar Tax,2018,16330944
Vehicle Registration Tax,2018,885318887
Excise Duty on Premises or Activities - Traditional Betting Duty,2018,28867366
Excise Duty on Premises or Activities - Remote Betting Duty,2018,21687526
Excise Duty on Premises or Activities - Betting Commissions Duty,2018,1781526
Excise Duty on Premises or Activities - Bookmakers Licences,2018,62250
Excise Duty on Premises or Activities - Bookmaking Premises,2018,330600
Excise Duty on Premises or Activities - Remote Betting Intermediary's,2018,35000
Excise Duty on Premises or Activities - Remote Bookmaker's,2018,155000
Excise Duty on Premises or Activities - Clubs,2018,213180
Excise Duty on Premises or Activities - Public Dancing Licences,2018,6156767
Excise Duty on Premises or Activities - Licences,2018,18113600
Excise Duty on Premises or Activities - An Post,2018,5888
Alcohols Beer - Import,2017,148652534
Alcohols Beer - Home,2017,275222159
Alcohols Cider and Perry - Import,2017,9298660
Alcohols Cider and Perry - Home,2017,51823660
Alcohols Spirits - Import,2017,229141251
Alcohols Spirits - Home,2017,123899587
Alcohols Wine,2017,362855890
Alcohols Made Wine,2017,18963831
Tobacco Cigarettes,2017,1241359488
Tobacco Cigars /Fine Cut / Other Smoking,2017,156035800
Mineral Hydrocarbon Light Oils - Import ,2017,608972326
Mineral Hydrocarbon Light Oils - Home ,2017,17725693
Hydrocarbon Heavy Oils  - AutoDiesel,2017,1402808105
Hydrocarbon Heavy Oils - Marked Gas Oil,2017,31328520
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2017,892621
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2017,229881
Carbon Auto Diesel,2017,179533127
Carbon Petrol,2017,54066652
Carbon Aviation Gasoline,2017,37770
Carbon Kerosene,2017,52413759
Carbon Marked Gas Oil,2017,48668876
Carbon Fuel Oil,2017,2329434
Carbon Other LPG,2017,9235953
Carbon Auto LPG,2017,125765
Carbon Natural Gas,2017,54100070
Carbon Solid Fuel,2017,19091956
Electricity Tax,2017,3597819
Vehicle Registration Tax,2017,840597090
Excise Duty on Premises or Activities - Traditional Betting Duty,2017,28956966
Excise Duty on Premises or Activities - Remote Betting Duty,2017,21421353
Excise Duty on Premises or Activities - Betting Commissions Duty,2017,1836847
Excise Duty on Premises or Activities - Bookmakers Licences,2017,77250
Excise Duty on Premises or Activities - Bookmaking Premises,2017,329460
Excise Duty on Premises or Activities - Remote Betting Intermediary's,2017,100000
Excise Duty on Premises or Activities - Remote Bookmaker's,2017,1105000
Excise Duty on Premises or Activities - Clubs,2017,248140
Excise Duty on Premises or Activities - Public Dancing Licences,2017,3199270
Excise Duty on Premises or Activities - Licences,2017,17182635
Excise Duty on Premises or Activities - An Post,2017,21504
Alcohols Beer - Import,2016,151419840
Alcohols Beer - Home,2016,278451591
Alcohols Cider and Perry - Import,2016,8446942
Alcohols Cider and Perry - Home,2016,50856424
Alcohols Spirits - Import,2016,218871050
Alcohols Spirits - Home,2016,119130326
Alcohols Wine,2016,361015108
Alcohols Made Wine,2016,19283217
Tobacco Cigarettes,2016,973261840
Tobacco Cigars /Fine Cut / Other Smoking,2016,124449800
Mineral Hydrocarbon Light Oils - Import ,2016,555902071
Mineral Hydrocarbon Light Oils - Home ,2016,165102783
Hydrocarbon Heavy Oils  - AutoDiesel,2016,1408008339
Hydrocarbon Heavy Oils - Marked Gas Oil,2016,38348946
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2016,877465
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2016,271584
Carbon Auto Diesel,2016,171426636
Carbon Petrol,2016,58519752
Carbon Aviation Gasoline,2016,42139
Carbon Kerosene,2016,52825306
Carbon Marked Gas Oil,2016,56082875
Carbon Fuel Oil,2016,2160118
Carbon Other LPG,2016,8798950
Carbon Auto LPG,2016,142481
